Entonces,1-1
en un salto,1-2
"de fuego,",1-3
"sangre,",1-4
"dientes,",1-5
de un zarpazo,1-6
derribo,1-7
"tu pecho,",1-8
tus caderas.,1-9
ese mar,2-1
ese mar libro,2-2
ese libro mar,2-3
marcado y vario,2-4
y marchito y,2-5
flóreo,2-6
multitudinoso,2-7
mar purpúreo,2-8
marúleo mar azúleo,2-9
Las palabras,3-1
no acuden,3-2
"en mi ayuda,",3-3
se esconden,3-4
en el fondo,3-5
"del pecho,",3-6
por no subir vestidas,3-7
o silenciosa,4-1
pero tal vez oral,4-2
como una fuente,4-3
tal vez juglar,4-4
o princesa en la torre más alta.,4-5
Todo,5-1
"se murmura,",5-2
y la culpa,5-3
toda,5-4
"tiene,",5-5
"la malicia,",5-6
fondo,5-7
en invidiosa.,5-8
¿Qué es la vida?,6-1
"Una ilusión,",6-2
"una sombra,",6-3
"una ficción,",6-4
y los ritmos,7-1
indóciles,7-2
"vinieron acercándose,",7-3
juntándose,7-4
"en las sombras,",7-5
huyéndose y,7-6
"buscándose,",7-7
Cuando pronuncio,8-1
"la palabra Silencio,",8-2
lo destruyo.,8-3
Cuando pronuncio,8-4
"la palabra Nada,",8-5
creo algo,8-6
que no cabe,8-7
en ninguna no-existencia.,8-8